id,title,product_description,amazon_url
128,"Skull Calavera Kanji Katakana Duck","Combining the kanji for 'bone' and the word 'bone' to create a seal-like design.",https://a.co/d/05Uvxwcj
127,"Face-to-Face Dragon Illustration Kanji Katakana","This graphic combines a dragon motif inspired by Japanese folklore and decorative art with a seal design featuring kanji and katakana characters. The composition of dragons facing each other and the central text elements naturally draw the viewer's gaze. Streamlined lines and shapes enhance legibility, achieving a design that balances Japanese authenticity with contemporary graphic expression. It is an ideal piece for collections incorporating Japanese culture and character motifs.",https://a.co/d/09cc4T8V
126,"Face-to-Face Sumo Wrestler Kanji Katakana","This graphic design centers on Japanese characters, featuring sumo and sumo wrestlers-theme of Japan's traditional culture. By combining kanji and katakana in a seal-like style, it achieves an impression blending Japanese authenticity with a playful spirit. Simplifying lines and shapes enhances visibility, creating a composition where the characters themselves stand out. It's a simple yet striking design for those who enjoy Japanese culture and Japanese-language motifs.",https://a.co/d/07MYyCZu
125,"Face-to-Face Unicorn Illustration (Relaxed Style)","A playful, modern take on the unicorn motif. Two unicorn heads face each other in a clean, balanced composition defined by confident linework and flat color blocks. The design reads well at chest scale and offers subtle line detail for a closer look, making it a whimsical addition to casual and streetwear collections.",https://a.co/d/i7eNXdF
124,"Face-to-Face Lion Kanji Katakana (Japanese Relaxed Style)","A modern take on the traditional shishi motif. Two lion heads face each other with a central seal that blends kanji and katakana characters, creating a graphic that references Japanese calligraphic tradition while keeping a playful, contemporary feel. The composition emphasizes clear silhouettes and strong contrast for instant impact at chest scale, with subtle line detail for closer viewing. Ideal for collections that draw on Japan-inspired graphics and typographic accents.",https://a.co/d/g3Hvn04
123,"Face-to-Face Hannya Illustration (Relaxed Style)","Relaxed hannya faces in a face-to-face layout. Bold linework and flat color blocks make this a chest-center graphic that reads at a glance.",https://a.co/d/aN7hGMy
122,"Face-Center Tiger Illustration (Relaxed Style)","The boldly placed tiger motif achieves both a silhouette easily recognizable from a distance and clear definition in its details. As a focal point on the chest, it pairs well with layered outfits. Its modern interpretation of traditional Japanese elements makes it versatile for a wide range of styles. Its understated yet distinctive appeal makes it an excellent choice for gifts.",https://a.co/d/hQ3qcoy
120,"Face-to-Face Tiger Illustration (Relaxed Style)","This design features a humorous yet powerful graphic art piece with a tiger's face arranged symmetrically on both sides. By blending traditional Japanese animal motifs with an American comic-inspired pop art aesthetic, it creates a unique Asian × Modern worldview. Despite its minimalist composition, the eye-catching design has broad appeal across genres including Japanese patterns, animal designs, tiger art, street style, retro pop, and art fashion. It's a one-of-a-kind visual where visual impact and playfulness coexist.",https://a.co/d/eyYRrGF
121,"Face-to-Face Dragon vs Tiger Illustration (Relaxed Style)","This artwork places a dragon and a tiger head in a face-to-face layout, reinterpreting classic East Asian motifs in a relaxed, contemporary style. Thick linework and simplified shapes create immediate impact from a distance while patterned details reward a closer look. The design is sized to sit at the chest center so it integrates with everyday layering and streetwear silhouettes. Suitable for collections that blend traditional symbolism with modern, casual aesthetics.",https://a.co/d/0g1Yc8X
118,"Japanese Fujin & Raijin Art – Wind and Thunder Gods","This artwork features Fujin (the Wind God) and Raijin (the Thunder God), two iconic figures from Japanese mythology, reinterpreted in a cute and playful style. The characters keep the traditional elements-such as the wind bag and drums-while adding a modern, approachable look. Perfect for fans of Japanese art, mythology, pop-style illustrations, and character-based designs. Easy to match with streetwear outfits, and a fun gift for anyone who enjoys Japanese culture.",https://www.amazon.com/dp/B0FYR7YBSW?customId=B07537H64L&customizationToken=MC_Assembly_1%23B07537H64L&th=1&psc=1
119,"Face-to-Face Daruma Illustration (Relaxed Style)","This design places two daruma faces facing one another, rendered in a playful, low-tension illustration style. Bold outlines and restrained facial expressions keep the motif attention-grabbing yet wearable for everyday outfits.",https://www.amazon.com/Daruma-Illustration-Relaxed-Style-T-Shirt/dp/B0G4VXCS9D/ref=sr_1_5?dib=eyJ2IjoiMSJ9.baOD2aujbNaNJFcYi1LoM5X3Ik8E5ZEXFxHPcyccPOKMx3bVZwLQ0ufDz-iYP8G-2Ad9E3s7xtf7hACyvsixdg.EupN7gQaTBq3mOBSBBRDdfVlR3ya0rLBz1l7txLqSMc&dib_tag=se&qid=1764969541&refinements=p_4%3AYuru%2BStyle%2BJapan&s=apparel&sr=1-5&customId=B0752XJYNL&customizationToken=MC_Assembly_1%23B0752XJYNL&th=1&psc=1
